fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;color;fecha_ingestion
9/03/2017 23:55;10;625368552;-7556838046;Hombre;18;Soltero(a);Caminata;Hurto a persona;Atraco;No;Arma cortopunzante;La Candelaria;#1019;10;Vía pública;Candelaria;Cédula;Documentos;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 17:30;10;624809954;-7558603964;Hombre;25;Soltero(a);Caminata;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;San Joaquín;#1104;11;Vía pública;Laureles;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 11:00;10;625208044;-7558251467;Mujer;67;Unión marital de hecho;Caminata;Hurto a persona;Engaño;No;No;Naranjal;#1103;11;Vía pública;Laureles;Peso;Dinero, joyas, piedras preciosas y título valor;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 17:00;10;625257177;-7556859695;Mujer;54;Unión marital de hecho;Caminata;Hurto a persona;Atraco;Sin dato;Arma de fuego;La Candelaria;#1019;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 16:30;10;624871843;-7556847852;Mujer;22;Soltero(a);Caminata;Hurto a persona;Descuido;De celular;No;La Candelaria;#1019;10;Oficina;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 17:00;10;624851014;-7559047065;Mujer;36;Soltero(a);Caminata;Hurto a persona;Descuido;Sin dato;No;Bolivariana;#1107;11;Vía pública;Laureles;Autopartes;Autoparte y elementos de la mecánica automotriz;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 7:45;10;620714677;-7557139959;Mujer;27;Soltero(a);Autobus;Hurto a persona;Cosquilleo;De celular;No;La Florida;#1417;14;Bus de servicio público;Poblado;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 18:45;10;623872516;-7557291881;Hombre;54;Divorciado(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Calle Nueva;#1011;10;Vía pública;Candelaria;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 20:30;10;625738626;-7558444586;Hombre;44;Unión marital de hecho;Automóvil;Hurto a persona;Atraco;De celular;Arma de fuego;Suramericana;#1102;11;Vía pública;Laureles;Celular;Tecnología;Mercancía;Sin dato;6/03/2025 4:07
9/03/2017 11:45;10;62926572;-7554584402;Mujer;52;Viudo(a);Caminata;Hurto a persona;Atraco;De celular;Arma cortopunzante;Granizal;#0104;1;Vía pública;Popular;Celular;Tecnología;Mercancía;Negro;6/03/2025 4:07
