fecha_hecho,fecha_dt,anio,mes,hora,dia_semana,turno_dia,comuna,barrio,codigo_comuna,modalidad,tipo_conducta,arma,transporte_victima,bien_hurtado,categoria_bien,grupo_bien,lugar,sexo,edad,estado_civil,lat,lon,zona_riesgo
2/01/2017 20:00,2017-01-02 20:00:00,2017,1,20,Monday,Noche,La Candelaria,La Candelaria,10.0,Atraco,De celular,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,19,Soltero(a),,,ALTO
2/01/2017 16:00,2017-01-02 16:00:00,2017,1,16,Monday,Tarde,La Candelaria,Jesús Nazareno,10.0,Atraco,De celular,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,34,Unión marital de hecho,6.26203615,-75.56790736,ALTO
2/01/2017 16:00,2017-01-02 16:00:00,2017,1,16,Monday,Tarde,Robledo,Palenque,7.0,Raponazo,De celular,No,Motocicleta,Celular,Tecnología,Mercancía,Vía pública,Hombre,25,Unión marital de hecho,6.27833707,-75.59508886,MEDIO
2/01/2017 19:40,2017-01-02 19:40:00,2017,1,19,Monday,Noche,Buenos Aires,Cataluña,9.0,Raponazo,No,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,51,Casado(a),6.23315435,-75.54990153,MEDIO
2/01/2017 9:30,2017-01-02 09:30:00,2017,1,9,Monday,Mañana,Guayabal,Santa Fé,15.0,Atraco,No especificado,Arma de fuego,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,28,Soltero(a),6.21789792,-75.58059957,ALTO
2/01/2017 16:00,2017-01-02 16:00:00,2017,1,16,Monday,Tarde,El Poblado,La Florida,14.0,Descuido,De celular,No,Caminata,Celular,Tecnología,Mercancía,Restaurante,Mujer,39,Casado(a),6.20627216,-75.56030598,ALTO
2/01/2017 20:00,2017-01-02 20:00:00,2017,1,20,Monday,Noche,Aranjuez,Parque Norte,4.0,Atraco,De celular,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Parque,Mujer,49,Unión marital de hecho,6.27140511,-75.56972589,MEDIO
2/01/2017 16:30,2017-01-02 16:30:00,2017,1,16,Monday,Tarde,Castilla,Terminal de Transporte,5.0,Descuido,No especificado,No,Caminata,Celular,Tecnología,Mercancía,Terminal de transporte,Mujer,21,Soltero(a),6.27799041,-75.57091903,ALTO
2/01/2017 20:15,2017-01-02 20:15:00,2017,1,20,Monday,Noche,Buenos Aires,Barrio Caycedo,9.0,Raponazo,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Mujer,47,Casado(a),6.24189524,-75.55336442,MEDIO
2/01/2017 15:00,2017-01-02 15:00:00,2017,1,15,Monday,Tarde,Buenos Aires,Loreto,9.0,Engaño,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Mujer,56,Casado(a),6.22944408,-75.55935651,MEDIO
2/01/2017 17:40,2017-01-02 17:40:00,2017,1,17,Monday,Tarde,La Candelaria,La Candelaria,10.0,Descuido,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Mujer,55,Unión marital de hecho,,,ALTO
2/01/2017 12:30,2017-01-02 12:30:00,2017,1,12,Monday,Tarde,La Candelaria,Barrio Colón,10.0,Descuido,No especificado,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,46,Casado(a),6.24343022,-75.56654587,ALTO
2/01/2017 0:00,2017-01-02 00:00:00,2017,1,0,Monday,Madrugada,El Poblado,San Lucas,14.0,Engaño,No especificado,No,Caminata,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,Vía pública,Mujer,48,Soltero(a),6.18306253,-75.56797709,ALTO
2/01/2017 16:00,2017-01-02 16:00:00,2017,1,16,Monday,Tarde,Castilla,Castilla,5.0,Atraco,De celular,Arma de fuego,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,48,Unión marital de hecho,6.29182748,-75.57254758,ALTO
3/01/2017 10:00,2017-01-03 10:00:00,2017,1,10,Tuesday,Mañana,La Candelaria,La Candelaria,10.0,Atraco,No especificado,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,38,Unión marital de hecho,6.24749446,-75.56459751,ALTO
3/01/2017 21:15,2017-01-03 21:15:00,2017,1,21,Tuesday,Noche,Castilla,Caribe,5.0,Atraco,De celular,Arma de fuego,Automóvil,Celular,Tecnología,Mercancía,Vía pública,Hombre,43,Unión marital de hecho,6.27043296,-75.57394931,ALTO
3/01/2017 12:30,2017-01-03 12:30:00,2017,1,12,Tuesday,Tarde,Castilla,Plaza de Ferias,5.0,Atraco,De celular,Arma de fuego,Automóvil,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,Vía pública,Hombre,30,Unión marital de hecho,6.30149923,-75.56056347,ALTO
3/01/2017 16:35,2017-01-03 16:35:00,2017,1,16,Tuesday,Tarde,La Candelaria,San Benito,10.0,Raponazo,De celular,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,32,Soltero(a),6.25297119,-75.56948276,ALTO
3/01/2017 18:38,2017-01-03 18:38:00,2017,1,18,Tuesday,Noche,Aranjuez,Sevilla,4.0,Cosquilleo,No,No,Caminata,Billetera,Prendas de vestir y accesorios,Mercancía,Vía pública,Hombre,66,Casado(a),6.26910287,-75.56549302,MEDIO
3/01/2017 20:00,2017-01-03 20:00:00,2017,1,20,Tuesday,Noche,Doce de Octubre,Pedregal,6.0,Atraco,No,Objeto contundente,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,52,Unión marital de hecho,6.30268353,-75.57190653,BAJO
3/01/2017 20:25,2017-01-03 20:25:00,2017,1,20,Tuesday,Noche,La Candelaria,La Candelaria,10.0,Atraco,No especificado,Arma cortopunzante,Caminata,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,Vía pública,Hombre,18,Soltero(a),6.25242725,-75.56714032,ALTO
3/01/2017 7:00,2017-01-03 07:00:00,2017,1,7,Tuesday,Mañana,Castilla,Tricentenario,5.0,Cosquilleo,No especificado,No,Metro,Billetera,Prendas de vestir y accesorios,Mercancía,Estación del Metro,Hombre,35,Unión marital de hecho,6.29045179,-75.56460824,ALTO
3/01/2017 18:38,2017-01-03 18:38:00,2017,1,18,Tuesday,Noche,Aranjuez,Sevilla,4.0,Cosquilleo,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,66,Casado(a),6.26910287,-75.56549302,MEDIO
3/01/2017 15:00,2017-01-03 15:00:00,2017,1,15,Tuesday,Tarde,Belén,La Gloria,16.0,Descuido,No especificado,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Mujer,36,Soltero(a),6.22427095,-75.59958425,ALTO
3/01/2017 7:00,2017-01-03 07:00:00,2017,1,7,Tuesday,Mañana,Castilla,Tricentenario,5.0,Cosquilleo,No especificado,No,Metro,Cédula,Documentos,Mercancía,Estación del Metro,Hombre,35,Unión marital de hecho,6.29045179,-75.56460824,ALTO
3/01/2017 0:00,2017-01-03 00:00:00,2017,1,0,Tuesday,Madrugada,Villa Hermosa,El Pinal,8.0,Descuido,No especificado,No,Caminata,Cámara,Tecnología,Mercancía,Vía pública,Hombre,56,Soltero(a),,,MEDIO
3/01/2017 19:10,2017-01-03 19:10:00,2017,1,19,Tuesday,Noche,El Poblado,La Aguacatala,14.0,Engaño,No especificado,No,Caminata,Celular,Tecnología,Mercancía,Centro comercial,Hombre,23,Soltero(a),,,ALTO
3/01/2017 19:10,2017-01-03 19:10:00,2017,1,19,Tuesday,Noche,El Poblado,La Aguacatala,14.0,Engaño,No especificado,No,Caminata,Euro,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Centro comercial,Hombre,23,Soltero(a),,,ALTO
3/01/2017 11:50,2017-01-03 11:50:00,2017,1,11,Tuesday,Mañana,La Candelaria,La Candelaria,10.0,Cosquilleo,De celular,Objeto contundente,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,25,Soltero(a),6.24769428,-75.56443658,ALTO
3/01/2017 19:10,2017-01-03 19:10:00,2017,1,19,Tuesday,Noche,El Poblado,La Aguacatala,14.0,Engaño,No especificado,No,Caminata,Computador,Tecnología,Mercancía,Centro comercial,Hombre,23,Soltero(a),,,ALTO
3/01/2017 18:00,2017-01-03 18:00:00,2017,1,18,Tuesday,Noche,Buenos Aires,La Milagrosa,9.0,Atraco,De celular,Arma de fuego,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,64,Casado(a),6.23425481,-75.55546302,MEDIO
3/01/2017 12:30,2017-01-03 12:30:00,2017,1,12,Tuesday,Tarde,Castilla,Plaza de Ferias,5.0,Atraco,De celular,Arma de fuego,Automóvil,Celular,Tecnología,Mercancía,Vía pública,Hombre,30,Unión marital de hecho,6.30149923,-75.56056347,ALTO
3/01/2017 20:05,2017-01-03 20:05:00,2017,1,20,Tuesday,Noche,Castilla,Caribe,5.0,Descuido,No especificado,No,Caminata,Ropa exterior,Prendas de vestir y accesorios,Mercancía,Vía pública,Hombre,27,Soltero(a),6.26632872,-75.57528343,ALTO
3/01/2017 21:15,2017-01-03 21:15:00,2017,1,21,Tuesday,Noche,Castilla,Caribe,5.0,Atraco,De celular,Arma de fuego,Automóvil,Accesorios prendas de vestir,Prendas de vestir y accesorios,Mercancía,Vía pública,Hombre,43,Unión marital de hecho,6.27043296,-75.57394931,ALTO
3/01/2017 16:30,2017-01-03 16:30:00,2017,1,16,Tuesday,Tarde,Guayabal,Cristo Rey,15.0,Atraco,No especificado,Arma de fuego,Caminata,Computador,Tecnología,Mercancía,Vía pública,Hombre,22,Soltero(a),6.20764234,-75.58670271,ALTO
3/01/2017 21:40,2017-01-03 21:40:00,2017,1,21,Tuesday,Noche,Castilla,Boyacá,5.0,Atraco,De celular,No,Motocicleta,Celular,Tecnología,Mercancía,Vía pública,Mujer,34,Unión marital de hecho,6.30157447,-75.56393769,ALTO
3/01/2017 20:15,2017-01-03 20:15:00,2017,1,20,Tuesday,Noche,Laureles-Estadio,U.D. Atanasio Girardot,11.0,Atraco,No especificado,Arma cortopunzante,Caminata,Celular,Tecnología,Mercancía,Vía pública,Hombre,23,Soltero(a),6.25420278,-75.58885004,ALTO
3/01/2017 10:00,2017-01-03 10:00:00,2017,1,10,Tuesday,Mañana,La Candelaria,Villa Nueva,10.0,Engaño,De celular,No,Caminata,Celular,Tecnología,Mercancía,Vía pública,Mujer,22,Soltero(a),6.25216546,-75.56339588,ALTO
3/01/2017 20:30,2017-01-03 20:30:00,2017,1,20,Tuesday,Noche,Castilla,Caribe,5.0,Descuido,No,No,Caminata,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Hombre,27,Soltero(a),6.26575816,-75.57514396,ALTO
3/01/2017 17:30,2017-01-03 17:30:00,2017,1,17,Tuesday,Tarde,El Poblado,Villa Carlota,14.0,Cosquilleo,No especificado,No,Caminata,Celular,Tecnología,Mercancía,Oficina,Mujer,39,Soltero(a),6.21975909,-75.57323422,ALTO
3/01/2017 21:40,2017-01-03 21:40:00,2017,1,21,Tuesday,Noche,Castilla,Boyacá,5.0,Atraco,De celular,No,Motocicleta,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,Vía pública,Mujer,34,Unión marital de hecho,6.30157447,-75.56393769,ALTO
